Compound,outputs,inputs
"4,5-Dihydro-2-mercaptoimidazole",PPARgamma activation,"Chronic inflammation and fibrosis are the leading causes of chronic allograft failure. The nuclear receptor peroxisome proliferator-activated receptor PPARgamma is a transcription factor known to have antidiabetogenic and immune effects, and PPARgamma forms obligate heterodimers with the retinoid X receptor RXR. We have reported that a retinoic acid RAR/RXR-agonist can potently influence the course of renal chronic allograft dysfunction. In this study, in a Fischer to Lewis rat renal transplantation model, administration of the PPARgamma-agonist, rosiglitazone, independent of dose 3 or 30 mg/kgBW/day, lowered serum creatinine, albuminuria, and chronic allograft damage with a chronic vascular damage score as follows 35.0 /- 5.8 controls vs. 8.1 /- 2.4 low dose-Rosi P lt 0.05 chronic tubulointerstitial damage score 13.6 /- 1.8 controls vs. 2.6 /- 0.4 low dose-Rosi P lt 0.01. The deposition of extracellular matrix proteins collagen, fibronectin, decorin was strikingly lower. The expression of transforming growth factor-beta1 was inhibited, whereas that of bone morphogenic protein-7 BMP-7 was increased. Intragraft mononuclear cells and activated fibroblast numbers were reduced by 50. In addition, the migratory and proliferative activity of these cells was significantly inhibited in vitro. PPARgamma activation diminished the number of cells expressing the proinflammatory and fibrogenic proteoglycan biglycan. In macrophages its secretion was blocked by rosiglitazone in a predominantly PPARgamma-dependent manner. The combination of PPARgamma- and RAR/RXR-agonists resulted in additive effects in the inhibition of fibrosis. In summary, PPARgamma activation was potently immunosuppressive and antifibrotic in kidney allografts, and these effects were enhanced by a RAR/RXR-agonist."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Cisplatin activates multiple signal transduction pathways involved in coordinating cellular responses to stress. Here we demonstrate a requirement for extracellular signal-regulated protein kinase ERK, a member of the mitogen-activated protein kinase family in mediating cisplatin-induced apoptosis of human cervical carcinoma HeLa cells. Cisplatin treatment resulted in dose- and time- dependent activation of ERK. That elevated ERK activity contributed to cell death by cisplatin was supported by several observations 1 PD98059 and U0126, chemical inhibitors of the MEK/ERK signaling pathway, prevented apoptosis 2 pretreatment of cells with TPA, an activator of the ERK pathway, enhanced their sensitivity to cisplatin 3 suramin, a growth factor receptor antagonist that greatly suppressed ERK activation, likewise inhibited cisplatin-induced apoptosis and, finally, 4 HeLa cell variants selected for cisplatin resistance showed reduced activation of ERK following cisplatin treatment. Cisplatin-induced apoptosis was associated with cytochrome c release and subsequent caspase-3 activation, both of which could be prevented by treatment with the MEK inhibitors. However, the caspase inhibitor benzyloxycarbonyl-Val-Ala-Asp-fluoromethylketone protected HeLa cells against apoptosis without affecting ERK activation. Taken together, our findings suggest that ERK activation plays an active role in mediating cisplatin-induced apoptosis of HeLa cells and functions upstream of caspase activation to initiate the apoptotic signal."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Extracellular adenosine disrupted mitochondrial membrane potentials in HuH-7 cells, a Fas-deficient human hepatoma cell line, and the effect was inhibited by the adenosine transporter inhibitor dipyridamole or by overexpressing Bcl-XL. Adenosine downregulated the expression of mRNAs and proteins for Bcl-XL and inhibitor of apoptosis protein 2 IAP2 to directly inhibit caspase-3, -7, and -9, but it otherwise upregulated the expression of mRNA and protein for DIABLO, an inhibitor of IAPs. Those adenosine effects were attenuated by dipyridamole. Caspase-3 and -8 were implicated in adenosine-induced HuH-7 cell death, and adenosine actually activated caspase-3 without caspase-9 activation. The caspase-3 activation was inhibited by overexpressing Bcl-XL or IAP2. Taken together, the results of the present study indicate that intracellularly transported adenosine activates caspase-3 by neutralizing caspase-3 inhibition due to IAP as a result of decreased IAP2 expression and reduced IAP activity in response to increased DIABLO expression and perhaps DIABLO release from damaged mitochondria, in addition to caspase-8 activation. This represents further insight into adenosine-induced HuH-7 cell apoptotic pathway."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"We investigated the relationship between peripheral and central cholinesterase ChE inhibition levels after chronic treatment of Alzheimers disease AD patients with metrifonate MTF. In a 6-month, double-blind, placebo-controlled trial in AD patients treated with a weekly 2.9 mg/kg MTF dose, we observed 17.15 /- 23.43, 66.92 /- 7.30 and 60.80 /- 12.20 inhibition n = 6 of cerebrospinal fluid CSF and red blood cell RBC acetylcholinesterase AChE and plasma butyrylcholinesterase BuChE, respectively. In another study, AD patients were treated with daily MTF to achieve RBC AChE inhibition levels of 85.90. The CSF AChE inhibition was 67.93 /- 13.69 n = 3 at 3-4 h after the last treatment and 6.62 /- 9.36 n = 2 at 8 days after dosing. The recovery half time of CSF AChE was 2.21 /- 1.22 days. These data show that CSF AChE recovers faster than the peripheral plasma and RBC enzymes. Under conditions of chronic weekly dosing with MTF, RBC AChE inhibition does not reflect CSF, and arguably, brain AChE inhibition. Our data do not support continuous central neuronal AChE inhibition as the mechanism for the long-term efficacy of metrifonate for the treatment of AD."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Rats injected with a nonlethal acute dose 100 micrograms/kg, sc of soman pinacolyl methylphosphonofluoridate exhibited signs of anticholinesterase toxicity beginning at 5-15 min with increasing severity and lasting for 4-6 hr. Generalized tremors and seizure activity indicated comparatively greater involvement of the central cholinergic system than peripheral neuromuscular effects. During peak toxicity, all the brain regions tested showed more than 95 inhibition of acetylcholinesterase AChE activity. The cortex area was maximally affected 99 inhibition. Among skeletal muscles, soleus AChE was most severely affected 94 and extensor digitorum longus EDL the least 72. Inhibition of EDL AChE occurred at a much slower rate than in brain and other muscles. Significant recovery of AChE activity was seen by 48-72 hr after soman treatment in both brain and skeletal muscles. By Day 7, recovery was virtually complete in skeletal muscles but not in brain, although significant recovery had occurred by this time. Muscle fiber necrosis developed within 6 hr in the soleus and diaphragm, while no necrotic fibers were found in the EDL. The 16 S AChE molecular form showed the fastest recovery of the AChE isozymes in all three muscles. Full recovery was seen after 7 days in soleus and was increased to greater than control activity in diaphragm and EDL. The inhibition pattern of butyrylcholinesterase BuChE activity was similar to that described for AChE activity, but the recovery was comparatively faster. Carboxylesterase activity in plasma was decreased to less than 10 of control within 1 hr and recovered to 53 of control within 24 hr. No significant inhibition was seen in hepatic carboxylesterase activity. It can be concluded that soman-induced acute toxicity is directly related to the rate and degree of AChE inhibition. A significant amount of soman binds to non-AChE enzymes with serine sites such as BuChE and carboxylesterases."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Kinetic studies and molecular modeling of human acetylcholinesterase AChE inhibition by a fluorinated acetophenone derivative, 1-3-tert-butylphenyl-2,2,2-trifluoroethanone TFK, were performed. Fast reversible inhibition of AChE by TFK is of competitive type with Ki = 5.15 nM. However, steady state of inhibition is reached slowly. Kinetic analysis showed that TFK is a slow-binding inhibitor SBI of type B with Ki = 0.53 nM. Reversible binding of TFK provides a long residence time,  = 20 min, on AChE. After binding, TFK acylates the active serine, forming an hemiketal. Then, disruption of hemiketal deacylation is slow. AChE recovers full activity in approximately 40 min. Molecular docking and MD simulations depicted the different steps. It was shown that TFK binds first to the peripheral anionic site. Then, subsequent slow induced-fit step enlarged the gorge, allowing tight adjustment into the catalytic active site. Modeling of interactions between TFK and AChE active site by QM/MM showed that the ""isomerization"" step of enzyme-inhibitor complex leads to a complex similar to substrate tetrahedral intermediate, a so-called ""transition state analog"", followed by a labile covalent intermediate. SBIs of AChE show prolonged pharmacological efficacy. Thus, this fluoroalkylketone intended for neuroimaging, could be of interest in palliative therapy of Alzheimers disease and protection of central AChE against organophosphorus compounds."
"4,5-Dihydro-2-mercaptoimidazole",EGFR signaling pathway,"Breast cancer is the most common cancer that majorly affects female. The present study is focused on exploring the potential anticancer activity of 2-1, 2, 3, 4-Tetrahydroquinolin-1-yl 4 methoxyphenyl methyl phenol THMPP, against human breast cancer. The mechanism of action, activation of specific signaling pathways, structural activity relationship and drug-likeness properties of THMPP remains elusive. Cell proliferation and viability assay, caspase enzyme activity, DNA fragmentation and FITC/Annexin V, AO/EtBr staining, RT-PCR, QSAR and ADME analysis were executed to understand the mode of action of the drug. The effect of THMPP on multiple breast cancer cell lines MCF-7 and SkBr3, and non-tumorigenic cell line H9C2 was assessed by MTT assay. THMPP at IC50 concentration of 83.23 M and 113.94 M, induced cell death in MCF-7 and SkBr3 cells, respectively. Increased level of caspase-3 and -9, fragmentation of DNA, translocation of phosphatidylserine membrane and morphological changes in the cells confirmed the effect of THMPP in inducing the apoptosis. Gene expression analysis has shown that THMPP was able to downregulate the expression of PI3K/S6K1 genes, possibly via EGFR signaling pathway in both the cell lines, MCF-7 and SkBr3. Further, molecular docking also confirms the potential binding of THMPP with EGFR. QSAR and ADME analysis proved THMPP as an effective anti-breast cancer drug, exhibiting important pharmacological properties. Overall, the results suggest that THMPP induced cell death might be regulated by EGFR signaling pathway which augments THMPP being developed as a potential candidate for treating breast cancer."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Tabun belongs to the most toxic nerve agents. Its mechanism of action is based on acetylcholinesterase AChE inhibition at the peripheral and central nervous systems. Therapeutic countermeasures comprise administration of atropine with cholinesterase reactivators able to reactivate the inhibited enzyme. Reactivation of AChE is determined mostly biochemically without specification of different brain structures. Histochemical determination allows a fine search for different structures but is performed mostly without quantitative evaluation. In rats intoxicated with tabun and treated with a combination of atropine and HI-6, obidoxime, or new oxime K048, AChE activities in different brain structures were determined using biochemical and quantitative histochemical methods. Inhibition of AChE following untreated tabun intoxication was different in the various brain structures, having the highest degree in the frontal cortex and reticular formation and lowest in the basal ganglia and substantia nigra. Treatment resulted in an increase of AChE activity detected by both methods. The highest increase was observed in the frontal cortex. This reactivation was increased in the order HI-6 lt K048 lt obidoxime however, this order was not uniform for all brain parts studied. A correlation between AChE activity detected by histochemical and biochemical methods was demonstrated. The results suggest that for the mechanism of action of the nerve agent tabun, reactivation in various parts of the brain is not of the same physiological importance. AChE activity in the pontomedullar area and frontal cortex seems to be the most important for the therapeutic effect of the reactivators. HI-6 was not a good reactivator for the treatment of tabun intoxication."
"4,5-Dihydro-2-mercaptoimidazole",PPARgamma activation,"In the large intestine organic cation transporter type-2 OCTN2 is recognized as a transporter of compounds such as carnitine and colony sporulation factor, promoting health of the colon intestinal epithelium. Recent reports suggest that OCTN2 expression in small intestine is under control of peroxisome proliferator-activated receptor-alpha PPARalpha. However, PPARalpha contribution to colonic OCTN2 expression remains controversial. Here we examined the transcriptional regulation of colon OCTN2 gene by PPARgamma. To exclude any additional modulation of other PPAR to OCTN2 expression, we used both in vivo and in vitro PPAR-null models and specific PPAR inhibitors. The PPARgamma agonists thiazolidinediones increased both OCTN2 mRNA and protein expression in colonic epithelial cell lines independently by PPARalpha expression. The induction was blocked only by PPARgamma antagonists or by gammaORF4, a PPARgamma isoform with dominant negative activity, suggesting a PPARgamma-dependent mechanism. A conserved noncanonical PPAR-responsive element was found by computational analysis in the first intron of human OCTN2 gene and validated by EMSA assay. Promoter-reporter assays further confirmed transcriptional functionality of the putative PPAR response element, whereas selective mutation caused complete loss of responsiveness to PPARgamma activation. Finally, adenovirus-mediated overexpression of constitutively active PPARgamma mutant increased colon OCTN2 expression in PPARalpha-/- mice. Interestingly, animals overexpressing colon PPARgamma showed a significant increase in plasma carnitine, thus demonstrating the functional contribution of large intestine to systemic carnitine homeostasis. This study reveals a PPARgamma-dependent absorption machinery in colon that is likely involved in the health of colon epithelium, in the microbiota-host interactions and in the absorption of nutraceuticals and drugs."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"1. No species differences between Schistosoma haematobium and Schistosoma mansoni were detected when the I50 of metrifonate for the acetylcholinesterases AChE and the cholinesterases ChE of these two trematodes were determined in isolated enzyme preparations or following exposure of the intact worms to this drug in vitro.2. S. haematobium appeared to be more affected by AChE inhibition because, after administration of metrifonate to hamsters, a hepatic shift of the parasites was observed with a dose of metrifonate 150 mg 0.6 mmol per kg which produced no shift of S. mansoni, although AChE inhibition was comparable in both species.3. Administration of a possible metabolite of metrifonate, dichlorvos, to hamsters resulted in a greater inhibition of AChE and ChE activities of S. haematobium than those of S. mansoni. Furthermore, when schistosomes were incubated with dichlorvos, inhibition of AChE activity of female S. haematobium was significantly greater Plt0.005 than that of both sexes of S. mansoni and of male S. haematobium.4. The discrepancy between the lack of a significant chemotherapeutic effect of metrifonate in hamsters infected with S. haematobium and the clinical results obtained with this organophosphorus compound in human schistosomiasis haematobium is discussed, and the need to conduct similar studies in primates is pointed out."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"We analysed apoptosis, caspase-1 and -3, and trypsin-like protease activity in the nigrostriatal pathway during 1-methyl-4-phenyl-1,2,3, 6-tetrahydropyridine MPTP-induced neurotoxicity. MPTP injected 30 mg/kg, i.p., twice, 16 h apart mice were sacrificed on 1, 2 and 7 days. DNA extracted from nucleus caudatus putamen NCP and substantia nigra SN was subjected to agarose gel electrophoresis. Typical apoptotic-like DNA cleavage was absent in SN or NCP after this dose of MPTP. A trypsin-like protease activity was significantly decreased in SN and not in NCP. While caspase-3 activity in the whole brain was increased significantly, caspase-1 activity was unaffected. Striatal dopamine content was decreased to 75 by 7 days. The absence of typical DNA ladder when there was severe striatal dopamine depletion suggests that in vivo MPTP-mediated dopaminergic neurotoxicity may not involve apoptotic cell death, and explains why in mice MPTP-induced dopamine depletion is transient. The region-specific decrease in trypsin-like protease activity and absence of caspase-3 activation in SN signify the importance of trypsin-like protease in the regulation of apoptosis in MPTP-neurotoxicity in mice."
"4,5-Dihydro-2-mercaptoimidazole",PPARgamma activation,"Uncoupling proteins UCPs are mitochondrial membrane proton transporters that uncouple respiration from oxidative phosphorylation by dissipating the proton gradient across the membrane. We studied the direct effect of several peroxisome proliferator-activated receptor PPAR ligands on UCP-3 and UCP-2 mRNA expression in C2C12 myotubes for 24 h. In the absence of exogenous fatty acids, treatment of C2C12 cells with a selective PPARalpha activator Wy-14,643 or a non-selective PPAR activator bezafibrate did not affect the expression of UCP-3 mRNA levels, whereas UCP-2 expression was slightly increased. In contrast, troglitazone, a thiazolidinedione which selectively activates PPARgamma, strongly decreased UCP-3 and UCP-2 mRNA levels. Another thiazolidinedione, ciglitazone, had the same effect, but to a lower extent, suggesting that PPARgamma activation is involved. Further, the presence of 0.5 mM oleic acid strongly increased UCP-3 mRNA levels and troglitazone addition failed to block the effect of this fatty acid. The drop in UCP expression after thiazolidinedione treatment correlated well with a reduction in PPARalpha mRNA levels produced by this drug, linking the reduction in PPARalpha mRNA levels with the down-regulation of UCP mRNA in C2C12 myotubes after thiazolidinedione treatment."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Sepsis is the major cause of acute kidney injury AKI in severely ill patients, but only limited therapeutic options are available. During sepsis, lipopolysaccharide LPS, an endotoxin derived from bacteria, activates signaling cascades involved in inflammatory responses and tissue injury. Apamin is a component of bee venom and has been shown to exert antioxidative, antiapoptotic, and anti-inflammatory activities. However, the effect of apamin on LPS-induced AKI has not been elucidated. Here, we show that apamin treatment significantly ameliorated renal dysfunction and histological injury, especially tubular injury, in LPS-injected mice. Apamin also suppressed LPS-induced oxidative stress through modulating the expression of nicotinamide adenine dinucleotide phosphate oxidase 4 and heme oxygenase-1. Moreover, tubular cell apoptosis with caspase-3 activation in LPS-injected mice was significantly attenuated by apamin. Apamin also inhibited cytokine production and immune cell accumulation, suppressed toll-like receptor 4 pathway, and downregulated vascular adhesion molecules. Taken together, these results suggest that apamin ameliorates LPS-induced renal injury through inhibiting oxidative stress, apoptosis of tubular epithelial cells, and inflammation. Apamin might be a potential therapeutic option for septic AKI."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Our aim was to assess the feasibility of transdermal delivery of donepezil and evaluate the pharmacokinetics PK, pharmacodynamics PD, and safety of donepezil patch in vitro and in vivo. Donepezil patches were applied to the skin of rabbits and humans for 7 days, then, the PK profiles were observed in a dose-dependent manner. Donepezil was continuously released from the patch for 7 days as compared to oral administration in hairless rats and rabbits. In hairless rats, peak acetylcholinesterase AChE inhibition of 34.72.0 was observed within 8 h after oral administration of 4 mg/head donepezil, and lasted for less than 24 h, consistent with changes in the plasma donepezil concentration. Peak AChE inhibition by the donepezil patch was equivalent to that in the orally administered group. Donepezil was released continuously from the patch for 7 days with a linear PK in both rats and rabbits. AChE activity inhibition was dependent on donepezil plasma concentration. The data exhibited excellent PK/PD correlation. There was no dermal irritation erythema/edema in placebo or donepezil patch group during the study period in minipigs. Thus, Dong-As donepezil patch appeared to be generally safe and was well tolerated."
"4,5-Dihydro-2-mercaptoimidazole",COX-2 inhibition,"AIMS Cyclooxygenase COX-2 inhibition has been reported to suppress the biosynthesis of the gastroprotective lipoxygenase metabolite 15R-epi-lipoxin A4, also termed aspirin-triggered lipoxin ATL. We tested the hypothesis that the co-administration of aspirin with either the selective COX-2 inhibitor celecoxib or the nonselective COX inhibitor ibuprofen reduces ATL biosynthesis.   METHODS We measured the urinary excretion of ATL in 24 patients with both ischaemic heart disease and osteoarthritis, chronically treated with aspirin and co-administered celecoxib 200 mg b.i.d., ibuprofen 600 mg t.i.d., or placebo for 7 days.   RESULTS Baseline ATL was comparable in the three groups. On days 1 and 7, 4 h after co-administration of celecoxib or ibuprofen, ATL levels did not show significant variations day 1 0.24 /- 0.33, 0.26 /- 0.21 and 0.37 /- 0.22 ng mg-1 creatinine, respectively day 7 0.21 /- 0.13, 0.35 /- 0.15 and 0.23 /- 0.18 ng mg-1 creatinine, respectively.   CONCLUSIONS Neither selective nor nonselective COX-2 inhibition appreciably interferes with ATL biosynthesis, suggesting that this mediator is not involved in exacerbating gastrotoxicity by the association of aspirin with COX-2 inhibitors."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"The purpose of this study was to evaluate the anticancer potency and mechanism of a novel difluorodiarylidenyl piperidone H-4073 and its N-hydroxypyrroline modification HO-3867 in human ovarian cancer. Studies were done using established human ovarian cancer cell lines A2870, A2780cDDP, OV-4, SKOV3, PA-1, and OVCAR3 as well as in a murine xenograft tumor A2780 model. Both compounds were comparably and significantly cytotoxic to A2780 cells. However, HO-3867 showed a preferential toxicity toward ovarian cancer cells while sparing healthy cells. HO-3867 induced G2-M cell cycle arrest in A2780 cells by modulating cell cycle regulatory molecules p53, p21, p27, cyclin-dependent kinase 2, and cyclin, and promoted apoptosis by caspase-8 and caspase-3 activation. It also caused an increase in the expression of functional Fas/CD95 and decreases in signal transducers and activators of transcription 3 STAT3 Tyr705 and JAK1 phosphorylation. There was a significant reduction in STAT3 downstream target protein levels including Bcl-xL, Bcl-2, survivin, and vascular endothelial growth factor, suggesting that HO-3867 exposure disrupted the JAK/STAT3 signaling pathway. In addition, HO-3867 significantly inhibited the growth of the ovarian xenografted tumors in a dosage-dependent manner without any apparent toxicity. Western blot analysis of the xenograft tumor tissues showed that HO-3867 inhibited pSTAT3 Tyr705 and Ser727 and JAK1 and increased apoptotic markers cleaved caspase-3 and poly ADP ribose polymerase. HO-3867 exhibited significant cytotoxicity toward ovarian cancer cells by inhibition of the JAK/STAT3 signaling pathway. The study suggested that HO-3867 may be useful as a safe and effective anticancer agent for ovarian cancer therapy."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"BACKGROUND Unlike other breast cancer subtypes that may be treated with a variety of hormonal or targeted therapies, there is a need to identify new, effective targets for triple-negative breast cancer TNBC. It has recently been recognized that membrane potential is depolarized in breast cancer cells. The primary objective of the study is to explore whether hyperpolarization induced by opening potassium channels may provide a new strategy for treatment of TNBC.   METHODS Breast cancer datasets in cBioPortal for cancer genomics was used to search for ion channel gene expression. Immunoblots and immunohistochemistry were used for protein expression in culture cells and in the patient tissues. Electrophysiological patch clamp techniques were used to study properties of BK channels in culture cells. Flow cytometry and fluorescence microscope were used for cell viability and cell cycle studies. Ultrasound imaging was used to study xenograft in female NSG mice.   RESULTS In large datasets of breast cancer patients, we identified a gene, KCNMA1 encoding for a voltage- and calcium-dependent large-conductance potassium channel, called BK channel, overexpressed in triple-negative breast cancer patients. Although overexpressed, 99 of channels are closed in TNBC cells. Opening BK channels hyperpolarized membrane potential, which induced cell cycle arrest in G2 phase and apoptosis via caspase-3 activation. In a TNBC cell induced xenograft model, treatment with a BK channel opener significantly slowed tumor growth without cardiac toxicity.   CONCLUSIONS Our results support the idea that hyperpolarization induced by opening BK channel in TNBC cells can become a new strategy for development of a targeted therapy in TNBC."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Norepinephrine NE is the naturally occurring adrenergic agonist that is released in response to hypotension, and it is routinely administered in clinical settings to treat moderate to severe hypotension that may occur during general anesthesia and shock states. Although NE has incontestable beneficial effects on blood pressure maintenance during hypotensive conditions, deleterious effects of NE on endothelial cell function may occur. In particular, the role of reactive oxygen species ROS and NADPH oxidase Nox on the deleterious effects of NE on endothelial cell function have not been fully elucidated. Therefore, we investigated the effects of NE on ROS production in rat lung microvascular endothelial cells RLMEC and its contribution to cell death. RLMEC were treated with NE 5 ng/mL for 24 hours and ROS production was assessed by CellROX and DCFDA fluorescence. Nox activity was assessed by NADPH-stimulated ROS production in isolated membranes and phosphorylation of p47phox cell death was assessed by flow cytometry and DNA fragmentation. Caspase activation was assessed by fluorescent microscopy. Nox1, Nox2, and Nox4 mRNA expression was assessed by real-time PCR. NE increased ROS production, Nox activity, p47phox phosphorylation, Nox2 and Nox4 mRNA content, caspase-3 activation, and RLMEC death. Phentolamine, an  1-adrenoreceptor antagonist, inhibited NE-induced ROS production and Nox activity and partly inhibited cell death while -blockade had no effect. Apocynin and PEGSOD inhibited NE-induced caspase-3 activation and cell death while direct inhibition of caspase-3 abrogated NE-induced cell death. PEG-CAT inhibited NE-induced cell death but not caspase-3 activation. Collectively, these results indicate that NE induces RLMEC death via activation of Nox by -adrenergic signaling and caspase-3-dependent pathways. NE has deleterious effects on RLMECs that may be important to its long-term therapeutic use."
"4,5-Dihydro-2-mercaptoimidazole",EGFR signaling pathway,"BACKGROUND Nowadays, effects of fine particulate matter PM2.5 are well-documented and related to oxidative stress and pro-inflammatory response. Nevertheless, epidemiological studies show that PM2.5 exposure is correlated with an increase of pulmonary cancers and the remodeling of the airway epithelium involving the regulation of cell death processes. Here, we investigated the components of Parisian PM2.5 involved in either the induction or the inhibition of cell death quantified by different parameters of apoptosis and delineated the mechanism underlying this effect.   RESULTS In this study, we showed that low levels of Parisian PM2.5 are not cytotoxic for three different cell lines and primary cultures of human bronchial epithelial cells. Conversely, a 4 hour-pretreatment with PM2.5 prevent mitochondria-driven apoptosis triggered by broad spectrum inducers A23187, staurosporine and oligomycin by reducing the mitochondrial transmembrane potential loss, the subsequent ROS production, phosphatidylserine externalization, plasma membrane permeabilization and typical morphological outcomes cell size decrease, massive chromatin and nuclear condensation, formation of apoptotic bodies. The use of recombinant EGF and specific inhibitor led us to rule out the involvement of the classical EGFR signaling pathway as well as the proinflammatory cytokines secretion. Experiments performed with different compounds of PM2.5 suggest that endotoxins as well as carbon black do not participate to the antiapoptotic effect of PM2.5. Instead, the water-soluble fraction, washed particles and organic compounds such as polycyclic aromatic hydrocarbons PAH could mimic this antiapoptotic activity. Finally, the activation or silencing of the aryl hydrocarbon receptor AhR showed that it is involved into the molecular mechanism of the antiapoptotic effect of PM2.5 at the mitochondrial checkpoint of apoptosis.   CONCLUSIONS The PM2.5-antiapoptotic effect in addition to the well-documented inflammatory response might explain the maintenance of a prolonged inflammation state induced after pollution exposure and might delay repair processes of injured tissues."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"PURPOSE Although chemotherapeutic protocols that include chloroethylnitrosoureas CENUs, such as 1-4-amino-2-methyl-5-pyrimidinyl methyl-3-2-chloroethyl-3-nitrosourea hydrochloride ACNU and 1, 3-bis2-chloroethyl-1-nitrosourea BCNU, have been a mainstay of treatment for glioblastomas, the clinical outcomes have been unsatisfactory. More effective chemotherapeutic protocols for these tumors will require clear delineation of more cytocidal and cytostatic chemotherapeutic drugs.   METHODS AND RESULTS In this study, we measured the cytocidal effects of ACNU, cisplatin, actinomycin D, and staurosporine, administered within their therapeutic dose ranges, in the treatment of glioblastoma cells. As assessed by WST-1 colorimetric assay, the number of viable cells decreased markedly in T98G cultures treated with actinomycin D or staurosporine, to less than 20 of the level in control cultures at 72 h, but did not decrease or even increased after 6 days of treatment with ACNU. After treatment with cisplatin for 5 days, cell viability decreased to 30 of control. As assessed by fluorescence microscopic examination of nuclear staining by Hoechst 33258 and by electron microscopy, the majority of dead cells treated with actinomycin D, staurosporine, or cisplatin had morphologic features of apoptosis. Caspase-3 activity increased more than 20-fold in cells treated with actinomycin D, staurosporine, or cisplatin but increased less than fivefold in ACNU-treated cells. In addition to caspase-3 activation, western blot analysis demonstrated cleavage of caspase-2 during the apoptotic process. These findings indicate that actinomycin D and staurosporine potently induce apoptosis, whereas ACNU exerts mainly a cytostatic rather than a cytocidal effect.   CONCLUSION Actinomycin D and staurosporine and their derivatives are potentially effective chemotherapeutic agents against glioblastoma cells at least in vitro."
"4,5-Dihydro-2-mercaptoimidazole",COX-2 inhibition,"Pyrazole derivatives are known to be as non-steroidal anti-inflammatory drugs NSAID. Celecoxib is the pioneer sulfonamide being pyrazole derivative COX-2 inhibitors, which used to treat pain and inflammation they may also have a role in cancer prevention. In the present investigation, a series of arylidene analogues NDP-4011 to NDP-4016 were synthesized by the condensation of 4-3-methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl benzenesulfonamide I with various substituted aromatic aldehydes in ethanol using a catalytic amount of piperidine. All the synthesized compounds were well characterized by IR, 1H NMR, 13C NMR and mass spectrometry. The cytotoxicity of synthesized compounds was tested on the NRK-52E cell line. From which NDP-4011, NDP-4012, NDP-4013, NDP-1015 and NDP-4016 were found to have higher cytotoxicity whereas NDP-4014 showed less cytotoxicity compared to Celecoxib. The in silico pharmacokinetic parameters of compounds were evaluated to check their candidature as a drug. Molecular docking was carried out on COX-2 structures, which revealed that NDP-4011 to NDP-4016 targets allosteric binding site similar to the binding mode of the selective COX inhibitor Celecoxib. Furthermore, results of in vitro COX-2 inhibition assay supports arylidene analogues as COX-2 inhibitors."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Osteosarcoma OS is the most common type of primary bone tumor. Currently, there are limited treatment options for metastatic OS. Alpha-ketoglutarate AKG, i.e., a multifunctional intermediate of the Krebs cycle, is one of the central metabolic regulators of tumor fate and plays an important role in cancerogenesis and tumor progression. There is growing evidence suggesting that AKG may represent a novel adjuvant therapeutic opportunity in anti-cancer therapy. The present study was intended to check whether supplementation of Saos-2 and HOS osteosarcoma cell lines harboring a TP53 mutation with exogenous AKG exerted an anti-cancer effect. The results revealed that AKG inhibited the proliferation of both OS cell lines in a concentration-dependent manner. As evidenced by flow cytometry, AKG blocked cell cycle progression at the G1 stage in both cell lines, which was accompanied by a decreased level of cyclin D1 in HOS and increased expression of p21Waf1/Cip1 protein in Saos-2 cells evaluated with the ELISA method. Moreover, AKG induced apoptotic cell death and caspase-3 activation in both OS cell lines determined by cytometric analysis. Both the immunoblotting and cytometric analysis revealed that the AKG-induced apoptosis proceeded predominantly through activation of an intrinsic caspase 9-dependent apoptotic pathway and an increased Bax/Bcl-2 ratio. The apoptotic process in the AKG-treated cells was mediated via c-Jun N-terminal protein kinase JNK activation, as the specific inhibitor of this kinase partially rescued the cells from apoptotic death. In addition, the AKG treatment led to reduced activation of extracellular signal-regulated kinase ERK1/2 and significant inhibition of cell migration and invasion in vitro concomitantly with decreased production of pro-metastatic transforming growth factor  TGF- and pro-angiogenic vascular endothelial growth factor VEGF in both OS cell lines suggesting the anti-metastatic potential of this compound. In conclusion, we showed the anti-osteosarcoma potential of AKG and provided a rationale for a further study of the possible application of AKG in OS therapy."
